"job_id","company_name","job_title","salary_year_avg","skills"
157003,"Engtal","Data Engineer","325000.0","python"
157003,"Engtal","Data Engineer","325000.0","spark"
157003,"Engtal","Data Engineer","325000.0","pandas"
157003,"Engtal","Data Engineer","325000.0","numpy"
157003,"Engtal","Data Engineer","325000.0","pyspark"
157003,"Engtal","Data Engineer","325000.0","hadoop"
157003,"Engtal","Data Engineer","325000.0","kafka"
157003,"Engtal","Data Engineer","325000.0","kubernetes"
21321,"Engtal","Data Engineer","325000.0","python"
21321,"Engtal","Data Engineer","325000.0","spark"
21321,"Engtal","Data Engineer","325000.0","pandas"
21321,"Engtal","Data Engineer","325000.0","numpy"
21321,"Engtal","Data Engineer","325000.0","pyspark"
21321,"Engtal","Data Engineer","325000.0","hadoop"
21321,"Engtal","Data Engineer","325000.0","kafka"
21321,"Engtal","Data Engineer","325000.0","kubernetes"
270455,"Durlston Partners","Data Engineer","300000.0","sql"
270455,"Durlston Partners","Data Engineer","300000.0","python"
230458,"Twitch","Director of Engineering - Data Platform","251000.0","spark"
230458,"Twitch","Director of Engineering - Data Platform","251000.0","hadoop"
230458,"Twitch","Director of Engineering - Data Platform","251000.0","kafka"
230458,"Twitch","Director of Engineering - Data Platform","251000.0","tensorflow"
230458,"Twitch","Director of Engineering - Data Platform","251000.0","keras"
230458,"Twitch","Director of Engineering - Data Platform","251000.0","pytorch"
561728,"AI Startup","Data Engineer","250000.0","python"
561728,"AI Startup","Data Engineer","250000.0","scala"
561728,"AI Startup","Data Engineer","250000.0","r"
561728,"AI Startup","Data Engineer","250000.0","azure"
595768,"Signify Technology","Principal Data Engineer","250000.0","python"
595768,"Signify Technology","Principal Data Engineer","250000.0","scala"
595768,"Signify Technology","Principal Data Engineer","250000.0","databricks"
595768,"Signify Technology","Principal Data Engineer","250000.0","spark"
543728,"Signify Technology","Staff Data Engineer","250000.0","python"
543728,"Signify Technology","Staff Data Engineer","250000.0","scala"
543728,"Signify Technology","Staff Data Engineer","250000.0","databricks"
543728,"Signify Technology","Staff Data Engineer","250000.0","spark"
204320,"Handshake","Staff Data Engineer","245000.0","go"
151972,"Movable Ink","Principal Data Engineer (Remote)","245000.0","nosql"
151972,"Movable Ink","Principal Data Engineer (Remote)","245000.0","aws"
151972,"Movable Ink","Principal Data Engineer (Remote)","245000.0","gcp"
2446,"Meta","Data Engineering Manager","242000.0","sql"
2446,"Meta","Data Engineering Manager","242000.0","python"
2446,"Meta","Data Engineering Manager","242000.0","java"
2446,"Meta","Data Engineering Manager","242000.0","perl"
